mode,seeds,turns,turns_std,avg_input_tokens,avg_input_tokens_std,p95_input_tokens,p95_input_tokens_std,avg_latency_ms,avg_latency_ms_std,p95_latency_ms,p95_latency_ms_std,deep_call_rate,deep_call_rate_std,surface_hit_rate,surface_hit_rate_std,hit_at_1,hit_at_1_std,hit_at_3,hit_at_3_std,hit_at_5,hit_at_5_std,context_efficiency,context_efficiency_std,seed,seed_std
lancedb,3,4000.0,0.0,9389.783333333333,8.903799625097172,10459.333333333334,17.249798710580816,0.34660015973107267,0.0008645685327988717,0.45998596275846165,0.0036521465616515597,1.0,0.0,0.0,0.0,0.78725,0.003780432074071244,0.8459166666666667,0.0036817870057290433,0.8696666666666667,0.00424427719274896,0.09261813593610585,0.0003856792210622275,1.0,0.816496580927726
memory_md,3,4000.0,0.0,9573.659249999999,343.4160954045032,10201.666666666666,517.0308393982789,0.19086696300655603,0.00039458957199299945,0.33752744396527606,0.0038772612056712738,0.0,0.0,0.0,0.0,0.4525,0.007818247885555964,0.45275,0.007683857538155351,0.45325,0.00755259337358146,0.04737972206996841,0.0010695896889557073,1.0,0.816496580927726
memq_deep,3,4000.0,0.0,120.0,0.0,120.0,0.0,0.3483580249206473,0.0031305013964325785,0.4643333765367667,0.0014703025550624922,1.0,0.0,0.0,0.0,0.7854166666666667,0.0027182510717166956,0.8462500000000001,0.0033603075256093216,0.8685833333333334,0.0032808366141716025,7.238194444444445,0.027340305118096778,1.0,0.816496580927726
memq_hybrid,3,4000.0,0.0,120.0,0.0,120.0,0.0,0.33591914960804087,0.0027955587074659717,0.49612531438469887,0.0024163885548326536,0.8573333333333333,0.0021826334756181536,0.14266666666666666,0.0021826334756181345,0.7854166666666667,0.0027182510717166956,0.8462500000000001,0.0033603075256093216,0.8685833333333334,0.0032808366141716025,7.238194444444445,0.027340305118096778,1.0,0.816496580927726
memq_surface,3,4000.0,0.0,0.0,0.0,0.0,0.0,0.0001495496059457461,7.6132687940907135e-06,0.00019418075680732727,1.942799311083418e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.816496580927726
