mode,n,accuracy,avg_input_tokens,p95_input_tokens,avg_memory_payload_tokens_est,avg_memctx_tokens_est,avg_message_tokens_est,avg_prompt_tokens,avg_last_call_input_tokens,avg_duration_ms,p95_duration_ms
baseline_full,5,1,3813,3869,4444,0,4462,107544.2,3813,4015.6,5585.0
hybrid_memctx,5,1,598,642,117,117,132,107990,598,3062.4,3324.0
