mode,n,accuracy,avg_input_tokens,p95_input_tokens,avg_memory_payload_tokens_est,avg_memctx_tokens_est,avg_message_tokens_est,avg_prompt_tokens,avg_last_call_input_tokens,avg_duration_ms,p95_duration_ms
baseline_full,5,1,3569.2,3620,4444,0,4462,62756.4,3569.2,3194.2,3783.0
hybrid_memctx,5,1,341.2,394,117.2,117.2,132.2,62958.8,341.2,2656.6,2826.0
