mode,n,tp,fn,fp,tn,accuracy,precision_attack,recall_attack,secondary_called
dual_rule_plus_llm,10,5,1,0,4,0.9,1.0,0.8333,6
single_rule_only,10,2,4,0,4,0.6,1.0,0.3333,0
