mode,seeds,turns,turns_std,avg_input_tokens,avg_input_tokens_std,p95_input_tokens,p95_input_tokens_std,avg_latency_ms,avg_latency_ms_std,p95_latency_ms,p95_latency_ms_std,deep_call_rate,deep_call_rate_std,surface_hit_rate,surface_hit_rate_std,hit_at_1,hit_at_1_std,hit_at_3,hit_at_3_std,hit_at_5,hit_at_5_std,context_efficiency,context_efficiency_std,seed,seed_std
lancedb,5,6000.0,0.0,9380.662633333333,18.15862469994163,10429.4,22.44638055455712,0.231770212482661,0.0016382104730336346,0.2955665811896324,0.0023916724673432193,1.0,0.0,0.0,0.0,0.8125666666666667,0.0038145918669119762,0.8684000000000001,0.004214525147892991,0.8883666666666666,0.003601542879254822,0.09470213572866401,0.00039582991862273343,2.0,1.4142135623730951
memory_md,5,6000.0,0.0,9710.423166666667,324.715766525126,10442.8,553.7517133156339,0.11317956391721964,0.0027778352887334033,0.19827522337436676,0.00523585116300317,0.0,0.0,0.0,0.0,0.4543333333333333,0.0072816359578203585,0.4553333333333333,0.007165503781622363,0.45593333333333336,0.007002063188010288,0.04701387772358695,0.0019390725781593763,2.0,1.4142135623730951
memq_deep,5,6000.0,0.0,120.0,0.0,120.0,0.0,0.23432090062027178,0.005115033839120952,0.29923347756266594,0.006072023655923519,1.0,0.0,0.0,0.0,0.8114666666666667,0.0036914315199752423,0.8671333333333333,0.003550273854851806,0.8875666666666666,0.003199999999999995,7.396388888888889,0.02666666666666685,2.0,1.4142135623730951
memq_hybrid,5,6000.0,0.0,120.0,0.0,120.0,0.0,0.2616621250286698,0.0019327026740599757,0.3326582722365856,0.005807468554022363,0.9960333333333333,0.0005312459150169687,0.003966666666666667,0.0005312459150169742,0.8114666666666667,0.0036914315199752423,0.8671333333333333,0.003550273854851806,0.8875666666666666,0.003199999999999995,7.396388888888889,0.02666666666666685,2.0,1.4142135623730951
memq_surface,5,6000.0,0.0,0.0,0.0,0.0,0.0,0.000153851214175423,6.272337218542189e-06,0.00019166618585586548,1.999981347639853e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.4142135623730951
