mode,category,hit1,hit3,hit5
lancedb_full,coding_memory,0.504871717544515,0.5877228947594506,0.6213434837844565
lancedb_full,daily_chat,0.5016042339956535,0.5878555757218189,0.6229723337069769
lancedb_full,daily_tasks,0.5060241500903712,0.5891276630000543,0.6285268286337921
lancedb_full,persona,0.5036135928418124,0.5907249932837435,0.6276607512653459
lancedb_full,soul_principles,0.5051162937862006,0.586783630901605,0.6249164885565828
lancedb_full,user_rules,0.5058760340861228,0.5901493714115515,0.6257541493608431
memory_md,coding_memory,0.1882490012660137,0.2606237156852827,0.29199947030178
memory_md,daily_chat,0.50181175909852,0.5881572866174464,0.6237780692440478
memory_md,daily_tasks,0.5063740839065626,0.5896694237175075,0.6286298637492318
memory_md,persona,1.0,1.0,1.0
memory_md,soul_principles,1.0,1.0,1.0
memory_md,user_rules,1.0,1.0,1.0
memq_hybrid,coding_memory,0.504871717544515,0.5877228947594506,0.6213434837844565
memq_hybrid,daily_chat,0.5016042339956535,0.5878555757218189,0.6229723337069769
memq_hybrid,daily_tasks,0.5060241500903712,0.5891276630000543,0.6285268286337921
memq_hybrid,persona,0.5036135928418124,0.5907249932837435,0.6276607512653459
memq_hybrid,soul_principles,0.5051162937862006,0.586783630901605,0.6249164885565828
memq_hybrid,user_rules,0.5058760340861228,0.5901493714115515,0.6257541493608431
