mode,seeds,turns,turns_std,avg_input_tokens,avg_input_tokens_std,p95_input_tokens,p95_input_tokens_std,avg_latency_ms,avg_latency_ms_std,p95_latency_ms,p95_latency_ms_std,deep_call_rate,deep_call_rate_std,surface_hit_rate,surface_hit_rate_std,hit_at_1,hit_at_1_std,hit_at_3,hit_at_3_std,hit_at_5,hit_at_5_std,context_efficiency,context_efficiency_std,seed,seed_std
lancedb,5,6000.0,0.0,9375.826333333333,14.282399729503805,10432.0,25.13961017995307,0.23555293870158495,0.0011296457205069884,0.2997914329171181,0.001980721787925794,1.0,0.0,0.0,0.0,0.8130999999999999,0.0034198765409814936,0.8716333333333334,0.0035549652287719708,0.8921333333333333,0.0033122667632772317,0.09515319557349368,0.0004855716340287553,2.0,1.4142135623730951
memory_md,5,6000.0,0.0,9707.8639,322.28091852031093,10441.2,555.7536864475125,0.11240101528043549,0.0015404868796708516,0.19865809008479118,0.004098477921525486,0.0,0.0,0.0,0.0,0.45093333333333335,0.0034231239793173864,0.45153333333333334,0.0033356658505711563,0.4521,0.0034538223591969695,0.046618742824028045,0.0014849720576759682,2.0,1.4142135623730951
memq_deep,5,6000.0,0.0,120.0,0.0,120.0,0.0,0.23617937617624798,0.0024783520391445353,0.3007831983268261,0.002981779971480657,1.0,0.0,0.0,0.0,0.8123333333333334,0.0032998316455371992,0.8710666666666667,0.003068839809729027,0.8912333333333333,0.003194787421201392,7.426944444444445,0.026623228510011622,2.0,1.4142135623730951
memq_hybrid,5,6000.0,0.0,120.0,0.0,120.0,0.0,0.2266886472857247,0.0017355293613864745,0.32275859266519547,0.00220365194410766,0.8536,0.00561110011000022,0.1464,0.005611100110000216,0.8123333333333334,0.0032998316455371992,0.8710666666666667,0.003068839809729027,0.8912333333333333,0.003194787421201392,7.426944444444445,0.026623228510011622,2.0,1.4142135623730951
memq_surface,5,6000.0,0.0,0.0,0.0,0.0,0.0,0.00014603259041905402,4.590452318661005e-06,0.0001671724021434784,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.4142135623730951
