mode,seeds,turns,turns_std,avg_input_tokens,avg_input_tokens_std,p95_input_tokens,p95_input_tokens_std,avg_latency_ms,avg_latency_ms_std,p95_latency_ms,p95_latency_ms_std,deep_call_rate,deep_call_rate_std,surface_hit_rate,surface_hit_rate_std,hit_at_1,hit_at_1_std,hit_at_3,hit_at_3_std,hit_at_5,hit_at_5_std,context_efficiency,context_efficiency_std,seed,seed_std
lancedb,3,12000.0,0.0,9384.442722222222,14.33461697503529,10441.666666666666,21.044925490219462,0.36174960660799926,0.0037820216940395554,0.4762921792765458,0.006747094933890124,1.0,0.0,0.0,0.0,0.7886944444444445,0.0009237938415731079,0.8486666666666667,0.0006047650293632411,0.8718333333333333,0.001230401921686119,0.09290207440690305,0.00011888233162318463,1.0,0.816496580927726
memory_md,3,12000.0,0.0,9574.684194444444,342.1209141049838,10199.333333333334,516.1203563338906,0.19127605221648183,0.007724408202375081,0.33454177901148796,0.01691013686090098,0.0,0.0,0.0,0.0,0.45522222222222225,0.0021776785691688585,0.45566666666666666,0.002180511322976693,0.45616666666666666,0.0020827777036839428,0.04770425899874309,0.001730748556504031,1.0,0.816496580927726
memq_deep,3,12000.0,0.0,120.0,0.0,120.0,0.0,0.38282504016792196,0.024251425376547602,0.5170833319425583,0.051763903387166445,1.0,0.0,0.0,0.0,0.7878055555555555,0.0006431020501549929,0.8475555555555556,0.0013899995559107582,0.8712500000000001,0.0009452610848429756,7.260416666666667,0.007877175707024564,1.0,0.816496580927726
memq_hybrid,3,12000.0,0.0,120.0,0.0,120.0,0.0,0.3481206466547317,0.004688089569504953,0.5082084486881892,0.005562509010717182,0.8555555555555556,0.0015520794494109853,0.14444444444444443,0.0015520794494110052,0.7878055555555555,0.0006431020501549929,0.8475555555555556,0.0013899995559107582,0.8712500000000001,0.0009452610848429756,7.260416666666667,0.007877175707024564,1.0,0.816496580927726
memq_surface,3,12000.0,0.0,0.0,0.0,0.0,0.0,0.00015065700022710694,6.0260012975065565e-06,0.0001808317999045054,1.9317305567493097e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.816496580927726
