mode,turns,avg_input_tokens,p95_input_tokens,avg_latency_ms,p95_latency_ms,deep_call_rate,surface_hit_rate,hit_at_1,hit_at_3,hit_at_5,context_efficiency,seed
memory_md,4000,9892.68175,10521,0.04400564997922629,0.08333427831530571,0.0,0.0,0.44475,0.4465,0.4475,0.04523545903010577,0
lancedb,4000,9394.65225,10457,0.1302108915988356,0.16645807772874832,1.0,0.0,0.844,0.8975,0.918,0.09771516556134369,0
memq_surface,4000,0,0,0.00013739557471126318,0.00016624107956886292,1.0,0.0,0.0,0.0,0.0,0.0,0
memq_deep,4000,120,120,0.12692980840802193,0.16029179096221924,1.0,0.0,0.8405,0.89825,0.91775,7.647916666666666,0
memq_hybrid,4000,120,120,0.13857094186823815,0.21700002253055573,0.85025,0.14975,0.8405,0.89825,0.91775,7.647916666666666,0
memory_md,4000,9102.84975,9483,0.04596520110499114,0.0965828076004982,0.0,0.0,0.4515,0.453,0.4545,0.049929419081096015,1
lancedb,4000,9364.4755,10447,0.13228386628907174,0.16837520524859428,1.0,0.0,0.8435,0.895,0.91475,0.09768299356434856,1
memq_surface,4000,0,0,0.00015106715727597475,0.0002076849341392517,1.0,0.0,0.0,0.0,0.0,0.0,1
memq_deep,4000,120,120,0.12785234698094428,0.16016699373722076,1.0,0.0,0.84425,0.89875,0.9155,7.629166666666666,1
memq_hybrid,4000,120,120,0.14155948348343372,0.2199173904955387,0.85225,0.14775,0.84425,0.89875,0.9155,7.629166666666666,1
memory_md,4000,9703.60975,10589,0.04434338805731386,0.09012501686811447,0.0,0.0,0.445,0.44625,0.4485,0.04621991316169738,2
lancedb,4000,9392.49575,10504,0.12774793163407594,0.16124965623021126,1.0,0.0,0.841,0.89675,0.91525,0.09744481385578481,2
memq_surface,4000,0,0,0.0001481992658227682,0.0001671724021434784,1.0,0.0,0.0,0.0,0.0,0.0,2
memq_deep,4000,120,120,0.12761138856876642,0.15970878303050995,1.0,0.0,0.83925,0.89575,0.91725,7.643750000000001,2
memq_hybrid,4000,120,120,0.15231454302556813,0.27616601437330246,0.8515,0.1485,0.83925,0.89575,0.91725,7.643750000000001,2
memory_md,4000,10034.5125,11188,0.04492497758474201,0.09283283725380898,0.0,0.0,0.447,0.4485,0.44925,0.04477048586067335,3
lancedb,4000,9377.92125,10428,0.12823426828254014,0.16229087486863136,1.0,0.0,0.84175,0.89375,0.91575,0.09764957239324226,3
memq_surface,4000,0,0,0.0001382665941491723,0.0001671724021434784,1.0,0.0,0.0,0.0,0.0,0.0,3
memq_deep,4000,120,120,0.1274600379401818,0.15900004655122757,1.0,0.0,0.84075,0.89525,0.91675,7.639583333333333,3
memq_hybrid,4000,120,120,0.14387669030111283,0.23912498727440834,0.843,0.157,0.84075,0.89525,0.91675,7.639583333333333,3
memory_md,4000,9762.90825,10437,0.04391700308769941,0.08479226380586624,0.0,0.0,0.43825,0.44,0.4415,0.04522218059357466,4
lancedb,4000,9404.51775,10471,0.1261958956019953,0.15633413568139076,1.0,0.0,0.8385,0.8975,0.9185,0.0976658266182761,4
memq_surface,4000,0,0,0.0001420086482539773,0.0001671724021434784,1.0,0.0,0.0,0.0,0.0,0.0,4
memq_deep,4000,120,120,0.12713119853287935,0.16062520444393158,1.0,0.0,0.8355,0.89475,0.917,7.6416666666666675,4
memq_hybrid,4000,120,120,0.16550641343928874,0.312665943056345,0.8475,0.1525,0.8355,0.89475,0.917,7.6416666666666675,4
