metric,baseline_full,hybrid_memctx,delta_hybrid_minus_base
accuracy,0.9777777777777776,1.0,0.022222222222222365
avg_input_tokens,9465.444444444443,4458.111111111111,-5007.333333333332
avg_duration_ms,4782.066666666667,4387.0888888888885,-394.9777777777781
token_reduction_pct,0.0,52.90119616382396,52.90119616382396
latency_reduction_pct,0.0,8.259562346358862,8.259562346358862
